value,label,color
1109,Garimpo/Área Garimpada com Solo Exposto/Metálicos/Cobre,#ff4500
1114,Garimpo/Área Garimpada com Solo Exposto/Metálicos/Estanho,#ff4500
1115,Garimpo/Área Garimpada com Solo Exposto/Metálicos/Ouro,#ff4500
1117,Garimpo/Área Garimpada com Solo Exposto/Não metálicos/Minerais classe 2,#cd853f
1124,Garimpo/Área Garimpada com Solo Exposto/Pedras preciosas e rochas ornamentais/Pedras Preciosas,#8a2be2
1125,Garimpo/Área Garimpada com Solo Exposto/Pedras preciosas e rochas ornamentais/Rochas Ornamentais,#8a2be2
1138,Garimpo/Área Garimpada com Solo Exposto/Metálicos/Elementos Terras Raras,#ff4500
1158,Garimpo/Área Garimpada com Solo Exposto/Atípica/Atípica,#778899
1159,Garimpo/Área Garimpada com Solo Exposto/Sem Substância/Sem Substância,#a9a9a9
1209,Garimpo/Área Garimpada com Revegetação/Metálicos/Cobre,#ff4500
1214,Garimpo/Área Garimpada com Revegetação/Metálicos/Estanho,#ff4500
1215,Garimpo/Área Garimpada com Revegetação/Metálicos/Ouro,#ff4500
1217,Garimpo/Área Garimpada com Revegetação/Não metálicos/Minerais classe 2,#cd853f
1224,Garimpo/Área Garimpada com Revegetação/Pedras preciosas e rochas ornamentais/Pedras Preciosas,#8a2be2
1225,Garimpo/Área Garimpada com Revegetação/Pedras preciosas e rochas ornamentais/Rochas Ornamentais,#8a2be2
1238,Garimpo/Área Garimpada com Revegetação/Metálicos/Elementos Terras Raras,#ff4500
1258,Garimpo/Área Garimpada com Revegetação/Atípica/Atípica,#778899
1259,Garimpo/Área Garimpada com Revegetação/Sem Substância/Sem Substância,#a9a9a9
2102,Industrial/Mineração Industrial com Solo Exposto/Metálicos/Ferro,#ff8c00
2103,Industrial/Mineração Industrial com Solo Exposto/Metálicos/Manganês,#ff8c00
2104,Industrial/Mineração Industrial com Solo Exposto/Metálicos/Níquel,#ff8c00
