value,label,color
3,Forest formation,#1f8d49
4,Savanna formation / Open forest,#7dc975
5,Mangrove,#04381d
6,Flooded forest,#026975
9,Silviculture,#7a5900
11,Flooded grassland / Shrubland,#519799
12,Grassland,#d6bc74
13,Other non-forest natural formation,#d89f5c
15,Pasture,#edde8e
18,Agriculture,#e974ed
21,Mosaic of uses,#ffefc3
23,"Beach, dune and sand spot",#ffa07a
24,Urban infrastructure,#d4271e
25,Other anthropic non-vegetated area,#db4d4f
27,Not observed,#ffffff
29,Rock outcrop,#ffaa5f
30,Mining,#9c0027
33,"River, lake and ocean",#2532e4
34,Glacier,#93dfe6
35,Oil palm,#9065d0
68,Other natural non-vegetated area,#e97a7a
