value,label,color
3,Forest Formation,#1f8d49
4,Savanna Formation,#7dc975
5,Mangrove,#04381d
9,Forest Plantation,#7a5900
11,Flooded grasslands,#519799
12,Grassland,#d6bc74
15,Pasture,#edde8e
19,Annual Crops,#c27ba0
21,Mosaic of Uses,#ffefc3
22,Non vegetated area,#d4271e
27,Not Observed,#ffffff
29,Rocky Outcrop,#ffaa5f
31,Aquaculture,#091077
32,Hypersaline Tidal Flat,#fc8114
33,"River, Lake and Ocean",#2532e4
46,Coffee,#d68fe2
48,Other Perennial Crops,#e6ccff
49,Wooded Sandbank Vegetation,#02d659
50,Herbaceous Sandbank Vegetation,#ad5100
65,Tea,#b9158a
