value,label,color
1,Burned 1 time,#fdf1b0
2,Burned 2 times,#fbe981
3,Burned 3 times,#fae258
4,Burned 4 times,#f9de44
5,Burned 5 times,#f8d71f
6,Burned 6 times,#f1ca1e
7,Burned 7 times,#e9bc1c
8,Burned 8 times,#e2af1a
9,Burned 9 times,#daa118
10,Burned 10 times,#d29316
11,Burned 11 times,#cc8715
12,Burned 12 times,#c57b14
13,Burned 13 times,#bd6c12
14,Burned 14 times,#b76011
15,Burned 15 times,#b0540f
16,Burned 16 times,#a8450d
17,Burned 17 times,#9f360b
18,Burned 18 times,#992a0a
19,Burned 19 times,#921e08
20,Burned 20 times,#8c1307
21,Burned 21 times,#810004
22,Burned 22 times,#770105
23,Burned 23 times,#6a0306
24,Burned 24 times,#600407
25,Burned 25 times,#5a0508
26,Burned 26 times,#4b0709
27,Burned 27 times,#450709
28,Burned 28 times,#3f0708
29,Burned 29 times,#390608
30,Burned 30 times,#330607
31,Burned 31 times,#2d0506
32,Burned 32 times,#270506
33,Burned 33 times,#220505
34,Burned 34 times,#1c0404
35,Burned 35 times,#170404
36,Burned 36 times,#120303
37,Burned 37 times,#0d0203
38,Burned 38 times,#080202
39,Burned 39 times,#050102
40,Burned 40 times,#030101
41,Burned 41 times,#030101
