value,label,color
1,1 year,#940000
2,2 years,#b51f16
3,3 years,#d63b24
4,4 years,#f05a28
5,5 years,#f47a20
6,6 years,#f7951d
7,7 years,#f7b21a
8,8 years,#f4cc1e
9,9 years,#e6df2a
10,10 years,#cde33a
11,11 years,#aee044
12,12 years,#8bd84f
13,13 years,#65cd5b
14,14 years,#42bf68
15,15 years,#2fb47a
16,16 years,#2aa98b
17,17 years,#35a4a0
18,18 years,#3aa0b8
19,19 years,#3696ca
20,20 years,#2f84c5
21,21 years,#2d6db7
22,22 years,#3159a8
23,23 years,#3d4d9d
24,24 years,#4b4597
25,25 years,#5b3f93
26,26 years,#6b3a91
27,27 years,#7b3590
28,28 years,#8b318f
29,29 years,#9b2f8e
30,30 years,#aa318d
31,31 years,#b83b93
32,32 years,#c5489c
33,33 years,#d158a8
34,34 years,#dc6ab5
35,35 years,#e47bc0
36,36 years,#ea8ccb
37,37 years,#efa0d5
38,38 years,#f3b5df
39,39 years,#d9d9d9
40,40 years,#8c8c8c
41,41 years,#8c8c8c
