value,label,color
1985,1985,#000079
1986,1986,#00147d
1987,1987,#00227f
1988,1988,#002d81
1989,1989,#003781
1990,1990,#004080
1991,1991,#004c7b
1992,1992,#00557f
1993,1993,#005e86
1994,1994,#00688c
1995,1995,#007292
1996,1996,#007d96
1997,1997,#008998
1998,1998,#0a9294
1999,1999,#26a09e
2000,2000,#41aca6
2001,2001,#5db9ad
2002,2002,#78c5b5
2003,2003,#94d2bd
2004,2004,#9fbd98
2005,2005,#aaa772
2006,2006,#b4924d
2007,2007,#bf7c27
2008,2008,#ca6702
2009,2009,#c45905
2010,2010,#bf4b08
2011,2011,#b93c0c
2012,2012,#b42e0f
2013,2013,#ae2012
2014,2014,#aa2016
2015,2015,#a6211a
2016,2016,#a3211e
2017,2017,#9f2222
2018,2018,#9b2226
2019,2019,#961b1e
2020,2020,#901417
2021,2021,#8b0e0f
2022,2022,#850708
2023,2023,#800000
2024,2024,#800000
2025,2025,#750000
