value,label,color
1,Burned 1 time,#fdf1b0
2,Burned 2 times,#fbe981
3,Burned 3 times,#fae258
4,Burned 4 times,#f9de44
5,Burned 5 times,#f8d71f
6,Burned 6 times,#f1ca1e
7,Burned 7 times,#e9bc1c
8,Burned 8 times,#e2af1a
9,Burned 9 times,#daa118
10,Burned 10 times,#d29316
11,Burned 11 times,#cc8715
12,Burned 12 times,#c57b14
13,Burned 13 times,#bd6c12
14,Burned 14 times,#b76011
15,Burned 15 times,#b0540f
16,Burned 16 times,#a8450d
17,Burned 17 times,#9f360b
18,Burned 18 times,#992a0a
19,Burned 19 times,#921e08
20,Burned 20 times,#8c1307
21,Burned 21 times,#810004
22,Burned 22 times,#770105
23,Burned 23 times,#6a0306
24,Burned 24 times,#600407
25,Burned 25 times,#5a0508
26,Burned 26 times,#4b0709
